Merchant_Category,Buyer_Category,Departments,Volume,Revenue,Transaction_Count,Average selling price,date
Very Low Volume,Getting Engaged,Clothing And Shoes,1360343,46529.6,14186,95.89,25-10-2017 00:00
High Volume,Super Engaged,Books,542145983,19770005.87,10468188,51.79,28-04-2017 00:00
Low Volume,Getting Engaged,Appstore,291789,12094.22,11270,25.89,21-04-2017 00:00
Very High Volume,Very Engaged,"Movies, Music And Games",8599808,293341.91,57126,150.54,22-04-2017 00:00
Unverified Merchant,Merchant,Appstore,203682,0,2225,91.54,09-04-2017 00:00
Medium Volume,Very Engaged,Books,653274898,26798317.96,15478091,42.21,14-11-2017 00:00
Low Volume,Super Engaged,Books,339147583,15749832.6,14914040,22.74,01-09-2017 00:00
Very Low Volume,Guest,Automotive,559,6.99,104,5.38,01-11-2017 00:00
Very High Volume,Medium Engaged,Books,433142715,12377734.91,8082493,53.59,05-08-2017 00:00
Low Volume,Casual Buyer,Digital Games And Software,93523581,3286294.19,1639978,57.03,06-11-2017 00:00
Non Merchant,Low Engaged,Appstore,870812,30032.24,12488,69.73,26-10-2017 00:00
New,Getting Engaged,Electronics And Computers,995501,27939.03,18143,54.87,08-01-2017 00:00
Medium Volume,Guest,Digital Games And Software,719717841,23374107.42,7455960,96.53,20-05-2017 00:00
High Volume,Very Engaged,Clothing And Shoes,20535591,719363.91,69413,295.85,23-05-2017 00:00
Non Merchant,Guest,Digital Games And Software,210333,9144.44,17581,11.96,21-12-2017 00:00
Very Low Volume,Merchant,Automotive,397179,5222.93,188333,2.11,14-05-2017 00:00
Inactive Merchant,Guest,"Movies, Music And Games",38523,395.35,631,61.05,28-07-2017 00:00
New,Getting Engaged,"Movies, Music And Games",10054855,252333.96,40570,247.84,15-06-2017 00:00
Inactive Merchant,Low Engaged,Sports And Outdoors,10841,836.29,40,271.03,07-05-2017 00:00
Low Volume,Guest,Sports And Outdoors,59671834,1887864.31,219059,272.4,10-08-2017 00:00
Unverified Merchant,Merchant,"Movies, Music And Games",5540,94.59,79,70.12,17-11-2017 00:00
Very High Volume,Guest,Automotive,11309,304.46,24775,0.46,13-10-2017 00:00
Very Low Volume,New,Digital Games And Software,4721043,184395.17,141479,33.37,04-10-2017 00:00
Inactive Merchant,Guest,Clothing And Shoes,530,20.18,61,8.69,17-01-2017 00:00
Very High Volume,Guest,Electronics And Computers,4841223477,122003436.9,39973880,121.11,27-11-2017 00:00
New,Guest,Electronics And Computers,655,32.11,159,4.12,18-06-2017 00:00
Very Low Volume,Very Engaged,Home And Garden,860466,39503.38,41161,20.9,20-11-2017 00:00
High Volume,Guest,Grocery,1452186391,39783631.01,3350565,433.42,10-10-2017 00:00
New,Getting Engaged,Appstore,35753,1411.65,1314,27.21,22-05-2017 00:00
Unverified Merchant,Getting Engaged,Home And Garden,535,18.21,7,76.43,16-02-2017 00:00
Unverified Merchant,New,Books,2661,116.17,122,21.81,11-02-2017 00:00
Non Merchant,One-And-Done,Automotive,1317585,29798.22,14623,90.1,21-05-2017 00:00
Non Merchant,Guest,Books,944357,24585.64,39583,23.86,28-06-2017 00:00
Low Volume,Super Engaged,Clothing And Shoes,6074358,229470.89,66234,91.71,09-05-2017 00:00
Low Volume,Medium Engaged,Sports And Outdoors,23826919,853420.42,181526,131.26,23-11-2017 00:00
Inactive Merchant,Medium Engaged,Books,26996,1003.7,635,42.51,10-11-2017 00:00
Medium Volume,Getting Engaged,Sports And Outdoors,58331468,2051416.94,225348,258.85,05-04-2017 00:00
Unverified Merchant,Medium Engaged,Sports And Outdoors,45,2.51,4,11.25,25-09-2017 00:00
Low Volume,New,Appstore,106492,4750.38,5288,20.14,02-04-2017 00:00
Medium Volume,Getting Engaged,Appstore,956043,35734.18,23388,40.88,13-10-2017 00:00
Unverified Merchant,Medium Engaged,Digital Games And Software,2223,100.31,41,54.21,11-11-2017 00:00
New,Low Engaged,Digital Games And Software,16385231,572672.87,284256,57.64,05-11-2017 00:00
Very Low Volume,New,"Movies, Music And Games",3209997,97720.28,57358,55.96,01-12-2017 00:00
Low Volume,Very Engaged,"Movies, Music And Games",44621289,1272184.43,479055,93.14,16-11-2017 00:00
Medium Volume,Medium Engaged,Clothing And Shoes,31130967,1116335.79,136656,227.81,09-05-2017 00:00
New,Merchant,Appstore,62543,947.84,767,81.54,13-07-2017 00:00
Very Low Volume,New,Clothing And Shoes,970716,32975.16,9069,107.04,24-07-2017 00:00
Very Low Volume,Getting Engaged,Books,6035299,230408.47,146871,41.09,19-01-2017 00:00
Very Low Volume,Super Engaged,Sports And Outdoors,426827,16231.07,7523,56.74,19-12-2017 00:00
Non Merchant,Super Engaged,Automotive,16023386,497440.96,354420,45.21,11-04-2017 00:00
Inactive Merchant,Very Engaged,Appstore,8,6.95,5,1.6,23-12-2017 00:00
New,Medium Engaged,Other,3249,212.25,365,8.9,22-04-2017 00:00
Inactive Merchant,Casual Buyer,Automotive,148,5.05,35,4.22,21-09-2017 00:00
High Volume,New,Electronics And Computers,12726483,448028.39,203400,62.57,22-08-2017 00:00
Very High Volume,Low Engaged,Books,411980404,11736946.62,7383035,55.8,17-06-2017 00:00
Very High Volume,Getting Engaged,Electronics And Computers,86736767,2507185.37,1553313,55.84,28-05-2017 00:00
Low Volume,Merchant,Home And Garden,11566108,465893.49,316412,36.55,27-03-2017 00:00
New,Getting Engaged,Automotive,425839,12916.19,9686,43.96,18-11-2017 00:00
New,Guest,Sports And Outdoors,17911,230.83,170,105.36,10-03-2017 00:00
Very High Volume,Getting Engaged,Automotive,6372908,204554.96,618834,10.3,16-02-2017 00:00
New,New,Electronics And Computers,267177,8646.64,5111,52.27,24-03-2017 00:00
Non Merchant,One-And-Done,Clothing And Shoes,5242369,164671.08,19555,268.08,24-05-2017 00:00
Medium Volume,Low Engaged,Automotive,13637900,472996.46,340491,40.05,25-09-2017 00:00
Medium Volume,New,Other,26070,1021.3,1310,19.9,22-03-2017 00:00
Unverified Merchant,Guest,Books,1589,46.63,34,46.72,21-06-2017 00:00
Very High Volume,Very Engaged,Other,57483374,1695706.07,4235945,13.57,08-02-2017 00:00
Very High Volume,Guest,Home And Garden,154538,5259.7,106994,1.44,08-06-2017 00:00
Very Low Volume,Guest,Electronics And Computers,2339172,90526.81,101829,22.97,28-12-2017 00:00
Medium Volume,Very Engaged,Home And Garden,25239030,945657,484972,52.04,14-05-2017 00:00
High Volume,Low Engaged,Home And Garden,147577177,4845192.82,2828376,52.18,12-06-2017 00:00
Very Low Volume,Getting Engaged,Electronics And Computers,78278,3311.48,3060,25.58,19-05-2017 00:00
Low Volume,Getting Engaged,Other,15957,617.47,990,16.12,15-05-2017 00:00
Medium Volume,Medium Engaged,Appstore,1744115,66475.67,45598,38.25,16-02-2017 00:00
New,Low Engaged,Books,16328021,641829.7,399136,40.91,28-01-2017 00:00
High Volume,Guest,Sports And Outdoors,105181,1593.18,606,173.57,19-11-2017 00:00
Very High Volume,Super Engaged,Books,239796903,6967218.55,4957159,48.37,20-10-2017 00:00
Non Merchant,Guest,"Movies, Music And Games",2154247,27860.27,41493,51.92,16-02-2017 00:00
Non Merchant,New,Digital Games And Software,26720203,1013451.8,520252,51.36,17-04-2017 00:00
Very Low Volume,Getting Engaged,Automotive,356002,8905.81,7678,46.37,28-02-2017 00:00
Inactive Merchant,One-And-Done,Automotive,58,2.59,14,4.14,13-11-2017 00:00
Medium Volume,Guest,Digital Games And Software,450320,14732.35,70475,6.39,10-09-2017 00:00
High Volume,One-And-Done,Digital Games And Software,33742996,1151433.88,453709,74.37,02-07-2017 00:00
High Volume,Medium Engaged,Appstore,2279082,79661.84,57001,39.98,05-03-2017 00:00
Medium Volume,New,Appstore,323026,12794.72,10537,30.66,11-04-2017 00:00
Medium Volume,Very Engaged,"Movies, Music And Games",91117858,2718986.79,495738,183.8,19-07-2017 00:00
Very Low Volume,Very Engaged,Automotive,341787,10748.78,10867,31.45,05-08-2017 00:00
Medium Volume,New,Electronics And Computers,3510908,136245.96,67418,52.08,28-06-2017 00:00
Very Low Volume,Guest,"Movies, Music And Games",10743,349.37,3301,3.25,06-12-2017 00:00
Inactive Merchant,Medium Engaged,Digital Games And Software,8001,494.44,912,8.77,16-02-2017 00:00
Very Low Volume,Casual Buyer,Automotive,126935,2853.83,2393,53.04,21-06-2017 00:00
Very Low Volume,Merchant,Books,7777815,276692.39,213038,36.51,11-03-2017 00:00
Low Volume,Guest,Appstore,2853,108.65,137,20.83,02-11-2017 00:00
High Volume,Merchant,Other,1323534,55251.04,75179,17.61,15-01-2017 00:00
Medium Volume,One-And-Done,Digital Games And Software,42770966,1475362.57,549774,77.8,07-05-2017 00:00
Medium Volume,Medium Engaged,Electronics And Computers,11229700,411075.97,235089,47.77,19-03-2017 00:00
Medium Volume,Casual Buyer,Other,78657,2559.49,4405,17.86,16-03-2017 00:00
High Volume,Low Engaged,Digital Games And Software,249124364,8991901.54,4426367,56.28,05-02-2017 00:00
Inactive Merchant,Guest,Books,2276,117.83,101,22.53,14-10-2017 00:00
High Volume,Super Engaged,Other,652162,27102.56,41827,15.59,14-11-2017 00:00
Low Volume,New,Electronics And Computers,788229,32106.12,17933,43.95,14-07-2017 00:00
New,Merchant,Books,17385901,607120.4,253193,68.67,13-08-2017 00:00
Low Volume,Super Engaged,Digital Games And Software,35669415,1547037.83,1172357,30.43,02-01-2017 00:00
Very Low Volume,Guest,Electronics And Computers,131,11.07,110,1.2,07-09-2017 00:00
Inactive Merchant,Very Engaged,Sports And Outdoors,1027,130.84,25,41.09,12-12-2017 00:00
Inactive Merchant,Getting Engaged,Clothing And Shoes,1204,39.49,27,44.59,11-01-2017 00:00
New,Super Engaged,Digital Games And Software,2898367,113025.54,69545,41.68,07-09-2017 00:00
Very Low Volume,Medium Engaged,Other,551,22.26,41,13.43,22-01-2017 00:00
Non Merchant,Merchant,Electronics And Computers,312,11.98,11,28.36,21-01-2017 00:00
Low Volume,Very Engaged,Automotive,7734121,297687.98,318480,24.28,08-12-2017 00:00
Low Volume,Guest,Digital Games And Software,547356684,17896062.67,7142439,76.63,23-04-2017 00:00
Non Merchant,New,Electronics And Computers,406,19.09,24,16.92,10-06-2017 00:00
New,Medium Engaged,Clothing And Shoes,2423094,78874,8239,294.1,04-03-2017 00:00
High Volume,Casual Buyer,Books,271169440,9361702.05,3795526,71.44,17-07-2017 00:00
Non Merchant,Low Engaged,Digital Games And Software,38628089,1493851.97,835170,46.25,10-10-2017 00:00
Low Volume,New,Books,81467088,3717986.11,3275378,24.87,03-03-2017 00:00
Low Volume,New,"Movies, Music And Games",32336412,1024659.12,230623,140.21,10-01-2017 00:00
Very High Volume,Merchant,Electronics And Computers,44053871,1214731.42,601895,73.19,15-05-2017 00:00
Unverified Merchant,Very Engaged,Digital Games And Software,2156,103.33,47,45.87,17-12-2017 00:00
New,Guest,Grocery,82439062,2436141.38,220153,374.46,17-10-2017 00:00
Low Volume,Medium Engaged,Home And Garden,15776304,633395.8,419523,37.61,14-06-2017 00:00
Medium Volume,One-And-Done,Sports And Outdoors,12750164,428671.11,34493,369.64,05-11-2017 00:00
New,Casual Buyer,Clothing And Shoes,3927486,122670.38,9363,419.47,16-06-2017 00:00
Medium Volume,Medium Engaged,Other,256724,9108.86,13111,19.58,25-06-2017 00:00
New,Low Engaged,Clothing And Shoes,3292338,104792.56,9820,335.27,06-04-2017 00:00
Very Low Volume,Casual Buyer,Digital Games And Software,6256446,234044.52,174568,35.84,01-07-2017 00:00
Unverified Merchant,New,"Movies, Music And Games",3231,95.5,6,538.5,08-04-2017 00:00
Very Low Volume,One-And-Done,Other,0,0,3,0,05-12-2017 00:00
High Volume,Casual Buyer,Home And Garden,49335986,1693432.22,864000,57.1,24-04-2017 00:00
Very Low Volume,Casual Buyer,Appstore,3302,115.25,72,45.86,19-01-2017 00:00
Inactive Merchant,Guest,Digital Games And Software,15090,1494.19,3657,4.13,06-09-2017 00:00
Inactive Merchant,Casual Buyer,Clothing And Shoes,2028,64.58,24,84.49,12-02-2017 00:00
Very Low Volume,Low Engaged,Books,7441433,294043.5,207839,35.8,21-12-2017 00:00
Medium Volume,Guest,Sports And Outdoors,202692,3010.06,1077,188.2,13-01-2017 00:00
Medium Volume,Guest,Clothing And Shoes,38448301,1228295.61,115672,332.39,09-11-2017 00:00
Inactive Merchant,Super Engaged,Home And Garden,196,39.89,70,2.79,20-09-2017 00:00
New,Getting Engaged,Books,13472222,519828.61,298530,45.13,20-01-2017 00:00
New,Merchant,"Toys, Kids And Baby",15790947,16744.63,60321,261.78,22-01-2017 00:00
Very High Volume,Guest,Grocery,826333158,20878543.34,1162939,710.56,21-02-2017 00:00
High Volume,Super Engaged,Automotive,7317434,248679.34,181524,40.31,02-01-2017 00:00
Low Volume,Merchant,Appstore,1027028,7659.11,12961,79.24,04-12-2017 00:00
Very High Volume,Super Engaged,Digital Games And Software,85781721,3177439.61,2382044,36.01,15-07-2017 00:00
Non Merchant,Guest,Electronics And Computers,20,3.05,14,1.42,04-07-2017 00:00
Low Volume,Low Engaged,Other,18119,695.06,1207,15.01,09-09-2017 00:00
Medium Volume,Low Engaged,Sports And Outdoors,55609942,1994341.51,248041,224.2,23-08-2017 00:00
Low Volume,Getting Engaged,Home And Garden,20358953,801834.99,519141,39.22,07-03-2017 00:00
Non Merchant,New,Clothing And Shoes,11372551,366934.68,53078,214.26,22-12-2017 00:00
New,Super Engaged,Sports And Outdoors,795211,28183.21,5530,143.8,01-11-2017 00:00
Unverified Merchant,Medium Engaged,"Movies, Music And Games",5114,147.28,26,196.68,14-05-2017 00:00
High Volume,New,Automotive,3901443,134973.04,107569,36.27,04-11-2017 00:00
Very High Volume,Super Engaged,Sports And Outdoors,5582226,167615.3,20859,267.62,17-11-2017 00:00
Very Low Volume,Very Engaged,"Movies, Music And Games",3152185,79939.47,48743,64.67,20-05-2017 00:00
Inactive Merchant,Guest,Books,1984,78.52,81,24.49,23-10-2017 00:00
Low Volume,Merchant,Clothing And Shoes,34711799,1149146.28,155915,222.63,14-03-2017 00:00
High Volume,Guest,Digital Games And Software,508780669,15732348.11,5392638,94.35,17-02-2017 00:00
High Volume,Very Engaged,Home And Garden,82330780,2734667.32,1728513,47.63,20-12-2017 00:00
Very High Volume,Casual Buyer,"Movies, Music And Games",3601066,120549.57,21945,164.1,10-02-2017 00:00
Inactive Merchant,New,Clothing And Shoes,2907,140.19,31,93.78,26-02-2017 00:00
Unverified Merchant,Merchant,"Toys, Kids And Baby",6314,45.65,186,33.95,16-02-2017 00:00
Very Low Volume,Super Engaged,Clothing And Shoes,223751,8489.33,3805,58.8,20-04-2017 00:00
Low Volume,Merchant,Sports And Outdoors,47769021,1604118.28,219833,217.3,25-04-2017 00:00
High Volume,Low Engaged,Automotive,12591366,422714.12,296737,42.43,27-05-2017 00:00
Very High Volume,One-And-Done,Books,44926314,1230300.61,545980,82.29,07-09-2017 00:00
Very High Volume,Getting Engaged,Sports And Outdoors,10255809,331583.97,35807,286.42,23-06-2017 00:00
Unverified Merchant,One-And-Done,Digital Games And Software,310,9.89,3,103.33,10-07-2017 00:00
Unverified Merchant,Super Engaged,Home And Garden,95,3.06,1,95,02-03-2017 00:00
New,Very Engaged,Digital Games And Software,5953817,222368.98,125648,47.38,16-09-2017 00:00
High Volume,Merchant,"Toys, Kids And Baby",409944036,132280.94,1229848,333.33,23-04-2017 00:00
High Volume,Merchant,Digital Games And Software,219937856,7419647.27,2785653,78.95,11-08-2017 00:00
Very Low Volume,Very Engaged,Digital Games And Software,3256169,138460.09,128066,25.43,01-04-2017 00:00
Inactive Merchant,Guest,Automotive,0,0.3,5,0,22-01-2017 00:00
High Volume,Medium Engaged,Automotive,14810322,500049.42,352540,42.01,04-02-2017 00:00
Medium Volume,Super Engaged,Books,704140687,29449505.18,18200693,38.69,22-10-2017 00:00
Very Low Volume,One-And-Done,Automotive,31621,665.59,527,60,05-08-2017 00:00
High Volume,Getting Engaged,Sports And Outdoors,34834940,1231097.11,142926,243.73,25-02-2017 00:00
Medium Volume,Low Engaged,Books,590853797,23666097.85,12912098,45.76,03-09-2017 00:00
Very High Volume,Getting Engaged,"Movies, Music And Games",7605207,249749.98,49513,153.6,24-12-2017 00:00
Medium Volume,Low Engaged,Home And Garden,46496751,1730170.04,872149,53.31,09-02-2017 00:00
Non Merchant,Super Engaged,Sports And Outdoors,23943060,875495.07,182637,131.1,08-11-2017 00:00
Very High Volume,Medium Engaged,Automotive,7144679,215876.9,405532,17.62,10-08-2017 00:00
Non Merchant,Casual Buyer,Automotive,7101091,169676.18,85194,83.35,15-05-2017 00:00
Very Low Volume,Low Engaged,Automotive,439958,11335.16,10817,40.67,04-01-2017 00:00
Inactive Merchant,New,Electronics And Computers,344,18.27,28,12.28,28-03-2017 00:00
Medium Volume,Getting Engaged,Clothing And Shoes,37467097,1273720.4,129546,289.22,28-01-2017 00:00
Very Low Volume,Casual Buyer,Clothing And Shoes,1011689,34105.23,9514,106.34,12-05-2017 00:00
Very High Volume,Merchant,"Movies, Music And Games",95720990,2065939.61,135397,706.97,11-11-2017 00:00
Inactive Merchant,Getting Engaged,Home And Garden,1018,135.39,350,2.91,24-07-2017 00:00
New,Low Engaged,Electronics And Computers,1091735,30337.35,19028,57.38,04-02-2017 00:00
Low Volume,Merchant,Books,220316039,8622856.67,5880491,37.47,01-01-2017 00:00
Non Merchant,Very Engaged,Books,610415312,23262897.51,11414383,53.48,22-03-2017 00:00
Very Low Volume,Guest,Digital Games And Software,54737,1821.29,8930,6.13,06-11-2017 00:00
Unverified Merchant,Guest,Books,216,7.16,3,71.99,12-06-2017 00:00
Non Merchant,Merchant,Appstore,8258027,18481.08,106660,77.42,20-08-2017 00:00
Low Volume,Casual Buyer,"Movies, Music And Games",38413815,1137304.15,211409,181.7,24-05-2017 00:00
Inactive Merchant,Very Engaged,Digital Games And Software,3617,245.82,481,7.52,12-02-2017 00:00
Very Low Volume,New,Books,2863079,118325.39,97920,29.24,06-06-2017 00:00
Medium Volume,Merchant,Appstore,1594103,23609.67,17368,91.78,13-02-2017 00:00
Medium Volume,Medium Engaged,Digital Games And Software,186175965,7068346.27,3471539,53.63,15-07-2017 00:00
New,Very Engaged,Sports And Outdoors,1575684,54023.76,7122,221.24,27-05-2017 00:00
Very High Volume,Guest,Automotive,134,5.33,22,6.11,23-07-2017 00:00
Very High Volume,Low Engaged,Appstore,1535390,37511.88,35228,43.58,26-08-2017 00:00
High Volume,New,Appstore,428070,14901.69,11228,38.13,21-07-2017 00:00
High Volume,One-And-Done,Home And Garden,9845923,347968.69,170211,57.85,04-03-2017 00:00
Non Merchant,New,Appstore,184557,6505.73,3467,53.23,23-03-2017 00:00
Unverified Merchant,Super Engaged,"Movies, Music And Games",492,19.95,12,40.96,02-12-2017 00:00
Medium Volume,Guest,Clothing And Shoes,138364,2455.4,650,212.87,04-03-2017 00:00
Unverified Merchant,Merchant,Sports And Outdoors,1083,32,2,541.44,19-07-2017 00:00
Low Volume,Medium Engaged,Books,275169659,12233545.47,10671575,25.79,26-08-2017 00:00
Non Merchant,Casual Buyer,Sports And Outdoors,40566008,1340412.86,168242,241.12,22-10-2017 00:00
Medium Volume,Medium Engaged,"Movies, Music And Games",120086923,3381177.74,560893,214.1,06-08-2017 00:00
Unverified Merchant,Medium Engaged,Home And Garden,722,24.95,11,65.61,13-10-2017 00:00
New,Casual Buyer,Digital Games And Software,16472632,544655.81,230772,71.38,20-06-2017 00:00
Non Merchant,Very Engaged,Electronics And Computers,162,8.74,8,20.23,28-01-2017 00:00
Medium Volume,Getting Engaged,Digital Games And Software,255929164,9264768.98,4062508,63,27-11-2017 00:00
Inactive Merchant,Merchant,Sports And Outdoors,42679,529.31,86,496.27,05-12-2017 00:00
Medium Volume,One-And-Done,Books,59254218,2183124.54,883496,67.07,16-08-2017 00:00
Very High Volume,Medium Engaged,Electronics And Computers,86926255,2544217.25,1730261,50.24,14-02-2017 00:00
New,Guest,Automotive,666,26.04,94,7.08,02-08-2017 00:00
Low Volume,Merchant,"Toys, Kids And Baby",83736596,348049.24,1013650,82.61,09-02-2017 00:00
New,Super Engaged,Electronics And Computers,247582,7165.21,4489,55.15,11-11-2017 00:00
Non Merchant,New,"Movies, Music And Games",131210002,3329174.02,984408,133.29,23-01-2017 00:00
Medium Volume,Guest,"Movies, Music And Games",330054,5584.12,6278,52.57,17-11-2017 00:00
Non Merchant,Very Engaged,Sports And Outdoors,35688494,1271636.15,221130,161.39,19-12-2017 00:00
Medium Volume,Super Engaged,Electronics And Computers,3831952,143150.69,82617,46.38,19-12-2017 00:00
High Volume,Guest,Clothing And Shoes,92120,1615.15,304,303.03,22-04-2017 00:00
New,New,Books,5988190,247414.1,172040,34.81,17-06-2017 00:00
Low Volume,Low Engaged,Sports And Outdoors,28453861,984766.45,181510,156.76,23-09-2017 00:00
New,Guest,Digital Games And Software,94457246,2947514.3,1046594,90.25,20-12-2017 00:00
Non Merchant,Guest,Digital Games And Software,97367541,3408790.71,1414225,68.85,14-02-2017 00:00
Unverified Merchant,Merchant,Books,10038,388.11,340,29.52,24-11-2017 00:00
High Volume,Merchant,Books,618428300,19393401.96,6330171,97.7,16-04-2017 00:00
Inactive Merchant,Medium Engaged,Automotive,1270,35.41,41,30.98,22-06-2017 00:00
Very High Volume,Merchant,Other,74277681,2121642.85,3375499,22,21-11-2017 00:00
Very Low Volume,Low Engaged,Home And Garden,1555108,69456.51,72131,21.56,05-07-2017 00:00
Inactive Merchant,Very Engaged,Automotive,132,8.42,37,3.58,20-09-2017 00:00
Very Low Volume,Merchant,Sports And Outdoors,2468109,83375.36,21966,112.36,01-01-2017 00:00
Inactive Merchant,New,Home And Garden,-198,140.69,438,-0.45,06-11-2017 00:00
Medium Volume,Getting Engaged,Electronics And Computers,11457625,419719.2,232702,49.24,28-09-2017 00:00
Very Low Volume,New,Home And Garden,1284541,55329.84,54308,23.65,28-08-2017 00:00
Inactive Merchant,Very Engaged,Clothing And Shoes,1117,34.4,8,139.62,28-08-2017 00:00
Medium Volume,One-And-Done,Home And Garden,4843973,182112.74,81069,59.75,03-03-2017 00:00
Medium Volume,Guest,Sports And Outdoors,47743623,1562171.7,147718,323.21,11-08-2017 00:00
New,Guest,"Movies, Music And Games",52815,1151.92,1287,41.04,11-04-2017 00:00
Medium Volume,Guest,Other,83,3.24,332,0.25,02-05-2017 00:00
Inactive Merchant,Getting Engaged,Sports And Outdoors,4356,80.1,49,88.89,08-09-2017 00:00
Very Low Volume,Medium Engaged,Home And Garden,1325590,59859.08,62601,21.18,21-09-2017 00:00
New,Casual Buyer,Appstore,12093,431.31,358,33.78,13-07-2017 00:00
Medium Volume,Guest,Appstore,439,20.06,226,1.94,03-04-2017 00:00
Inactive Merchant,Very Engaged,"Movies, Music And Games",8467,220.48,293,28.9,15-08-2017 00:00
Very High Volume,Merchant,Home And Garden,518642522,11691234,7683788,67.5,15-10-2017 00:00
New,Merchant,Electronics And Computers,410628,11090.53,6136,66.92,28-02-2017 00:00
Low Volume,Guest,Digital Games And Software,390363,11501.94,57219,6.82,15-08-2017 00:00
Very Low Volume,Super Engaged,Other,63,2.43,7,9.07,04-06-2017 00:00
New,Merchant,Other,535,30.66,70,7.64,24-08-2017 00:00
Non Merchant,Guest,Clothing And Shoes,84885,1386.72,638,133.05,01-11-2017 00:00
High Volume,Low Engaged,Appstore,2003932,69254.12,47294,42.37,13-02-2017 00:00
Medium Volume,Low Engaged,Appstore,1449580,54595.28,36166,40.08,02-07-2017 00:00
Low Volume,One-And-Done,Appstore,9498,353.44,315,30.15,18-09-2017 00:00
Very High Volume,Casual Buyer,Clothing And Shoes,3003846,84348.62,6295,477.18,27-01-2017 00:00
Low Volume,One-And-Done,Books,18061084,702576.29,438870,41.15,26-02-2017 00:00
High Volume,Casual Buyer,Digital Games And Software,116895948,4087351.06,1695757,68.93,20-10-2017 00:00
Very High Volume,New,Home And Garden,195513500,5071905.45,4249662,46.01,10-11-2017 00:00
Inactive Merchant,Casual Buyer,Home And Garden,-142,77.28,232,-0.61,18-09-2017 00:00
High Volume,Getting Engaged,Home And Garden,133697978,4446758.42,2447092,54.64,21-04-2017 00:00
Very Low Volume,New,Other,107,5.92,10,10.68,15-11-2017 00:00
New,Guest,Clothing And Shoes,8397231,256588.23,24670,340.38,12-06-2017 00:00
Inactive Merchant,Medium Engaged,Electronics And Computers,868,31.17,22,39.44,27-01-2017 00:00
Non Merchant,Low Engaged,"Movies, Music And Games",397562576,8073965.11,2553387,155.7,28-04-2017 00:00
High Volume,Super Engaged,"Movies, Music And Games",24614077,871437.15,172787,142.45,11-08-2017 00:00
Unverified Merchant,Casual Buyer,"Movies, Music And Games",371,7.76,6,61.85,25-09-2017 00:00
Very Low Volume,Guest,Books,13817,481.12,1072,12.89,20-10-2017 00:00
High Volume,Guest,Books,141611340,4587016.09,2066707,68.52,23-08-2017 00:00
Low Volume,One-And-Done,Home And Garden,2758290,105907.94,59646,46.24,12-11-2017 00:00
Very High Volume,Very Engaged,Sports And Outdoors,8627966,260376.07,31802,271.3,15-12-2017 00:00
High Volume,One-And-Done,Appstore,50482,1641.43,944,53.48,04-02-2017 00:00
Medium Volume,Merchant,"Movies, Music And Games",575901150,11447336.21,1381395,416.9,08-11-2017 00:00
Very Low Volume,Guest,Digital Games And Software,33508893,1181475.52,751396,44.6,11-01-2017 00:00
Very High Volume,Guest,Other,3064,73.2,289,10.6,27-06-2017 00:00
Very High Volume,Casual Buyer,Digital Games And Software,65154148,2116991.72,1134294,57.44,26-11-2017 00:00
Very High Volume,Merchant,Clothing And Shoes,28360538,730003.35,24883,1139.76,18-05-2017 00:00
Medium Volume,Very Engaged,Digital Games And Software,111933100,4385271.71,2285943,48.97,12-09-2017 00:00
Low Volume,Casual Buyer,Home And Garden,9919015,385865.67,233840,42.42,04-12-2017 00:00
Inactive Merchant,Low Engaged,Books,26401,689.19,611,43.21,06-01-2017 00:00
Very High Volume,Low Engaged,Other,58492024,1816196.73,4138909,14.13,05-08-2017 00:00
Low Volume,Low Engaged,Appstore,457670,19312.53,18219,25.12,24-12-2017 00:00
High Volume,Guest,Automotive,62,2.1,3,20.63,14-12-2017 00:00
Medium Volume,Very Engaged,Automotive,14798726,527474.92,397029,37.27,09-02-2017 00:00
High Volume,Low Engaged,Sports And Outdoors,37997322,1348938.59,166125,228.73,07-10-2017 00:00
Unverified Merchant,New,Digital Games And Software,517,22.07,12,43.06,04-04-2017 00:00
High Volume,Getting Engaged,Appstore,1439737,48731.47,31158,46.21,07-07-2017 00:00
High Volume,Medium Engaged,Clothing And Shoes,26435343,930161.29,86845,304.4,27-08-2017 00:00
New,Medium Engaged,Sports And Outdoors,2680478,88373.25,9808,273.3,23-04-2017 00:00
Non Merchant,New,Sports And Outdoors,33357648,1096060.25,164856,202.34,04-06-2017 00:00
Inactive Merchant,Getting Engaged,"Movies, Music And Games",17853,835.61,846,21.1,02-07-2017 00:00
Medium Volume,New,Digital Games And Software,102337821,3844237.72,1557562,65.7,27-11-2017 00:00
Very Low Volume,Super Engaged,Home And Garden,618133,29103.45,32880,18.8,19-11-2017 00:00
Medium Volume,Guest,Automotive,21837,595.24,2141,10.2,25-02-2017 00:00
Inactive Merchant,Medium Engaged,Sports And Outdoors,4670,60.93,28,166.78,15-08-2017 00:00
High Volume,Guest,Digital Games And Software,407900,11517.39,89920,4.54,19-11-2017 00:00
New,Very Engaged,"Movies, Music And Games",3986743,102644.34,25035,159.25,05-09-2017 00:00
Medium Volume,Guest,Books,712720,21116.02,53905,13.22,01-08-2017 00:00
Medium Volume,Getting Engaged,Books,477323633,18770548.9,9574218,49.86,24-09-2017 00:00
High Volume,Very Engaged,Electronics And Computers,28984899,948222.59,538119,53.86,18-01-2017 00:00
